Image,Blade Range,Total,Update Date,Image URL,Released Year,Model #,Brand,Type,Bevel,Slide,Blade Diameter,Watt,RPM,Power Supply,Soft Start,Laser,Others,Price,REF URL,Positioning/Highlights
,Ø222~267mm,"250
1600
Laser
10"" Compound Miter Saw. **Laser Integrated**. 1600W motor. Rotating table with precise angle adjustment.",,https://media.cdn.bauhaus/m/181725/15.jpg,2007,TC-MS 2513 L,Einhell,1.Benchtop,Single,Compound,250mm,1600mm,4000,Corded,,Laser,,"10"" Compound Miter Saw. **Laser Integrated**. 1600W motor. Rotating table with precise angle adjustment.",https://www.google.com/search?q=Einhell+TC-MS+2513+L+release+date;https://www.google.com/search?q=Einhell+TC-MS+2513+L+review+date,"10"" Compound Miter Saw. **Laser Integrated**. 1600W motor. Rotating table with precise angle adjustment."
,Ø191~222mm,"210
1800
Laser
8-1/4"" Sliding Compound Miter Saw. **Dual Bevel Debut**. Tilts 45° left and right. 1800W motor. Integrated laser.",,https://media.cdn.bauhaus/m/181725/15.jpg,2011,TC-SM 2131 Dual,Einhell,1.Benchtop,Dual,Rail,210mm,1800mm,5000,Corded,Soft Start,Laser,,"8-1/4"" Sliding Compound Miter Saw. **Dual Bevel Debut**. Tilts 45° left and right. 1800W motor. Integrated laser.",https://www.google.com/search?q=Einhell+TC-SM+2131+Dual+release+date;https://www.google.com/search?q=Einhell+TC-SM+2131+Dual+review+2011,"8-1/4"" Sliding Compound Miter Saw. **Dual Bevel Debut**. Tilts 45° left and right. 1800W motor. Integrated laser."
,Ø191~222mm,"210
Laser
VTC
8-1/4"" 18V PXC Cordless Compound Miter Saw. **PXC Debut**. Compact (7.5 kg), high portability. X-Tend work supports.",,https://media.cdn.bauhaus/m/181725/15.jpg,2015,TE-MS 18/210 Li,Einhell,1.Benchtop,Single,Compound,210mm,,3000,Cordless 18V,Soft Start,Laser,VTC,"8-1/4"" 18V PXC Cordless Compound Miter Saw. **PXC Debut**. Compact (7.5 kg), high portability. X-Tend work supports.",https://www.google.com/search?q=Einhell+Power+X-Change+launch+date;https://www.google.com/search?q=Einhell+TE-MS+18/210+Li+release+date,"8-1/4"" 18V PXC Cordless Compound Miter Saw. **PXC Debut**. Compact (7.5 kg), high portability. X-Tend work supports."
,Ø222~267mm,"250
2350
Laser
10"" Sliding Compound Miter Saw. **Dual Bevel**. 2350W motor. Integrated laser. Large cutting capacity (340mm).",,https://media.cdn.bauhaus/m/181725/15.jpg,2016,TC-SM 2534 Dual,Einhell,1.Benchtop,Dual,Rail,250mm,2350mm,5000,Corded,Soft Start,Laser,,"10"" Sliding Compound Miter Saw. **Dual Bevel**. 2350W motor. Integrated laser. Large cutting capacity (340mm).",https://www.google.com/search?q=Einhell+TC-SM+2534+Dual+release+date;https://www.google.com/search?q=Einhell+TC-SM+2534+Dual+release+date+review,"10"" Sliding Compound Miter Saw. **Dual Bevel**. 2350W motor. Integrated laser. Large cutting capacity (340mm)."
,Ø191~222mm,"210
Laser
E Brake
8-1/4"" Sliding Compound Miter Saw. **Twin-Pack (36V)**. Sliding function for wide cuts. Integrated laser and LED.",,https://media.cdn.bauhaus/m/181725/15.jpg,2018,TE-SM 36/210 Li,Einhell,1.Benchtop,Dual,Rail,210mm,,3800,Cordless 36V,Soft Start,Laser,E Brake,"8-1/4"" Sliding Compound Miter Saw. **Twin-Pack (36V)**. Sliding function for wide cuts. Integrated laser and LED.",https://www.google.com/search?q=Einhell+TE-SM+36/210+Li+release+date;https://www.google.com/search?q=Einhell+TE-SM+36/210+Li+review+2018,"8-1/4"" Sliding Compound Miter Saw. **Twin-Pack (36V)**. Sliding function for wide cuts. Integrated laser and LED."
,Ø222~267mm,"254
Laser
E Brake, VTC
10"" Sliding Compound Miter Saw. **PurePOWER Brushless**. 36V (2x18V). High cutting capacity (305mm). Premium DIY/Prosumer positioning.",,https://media.cdn.bauhaus/m/181725/15.jpg,2019,TE-SM 36/254 Li,Einhell,1.Benchtop,Dual,Rail,254mm,,4300,Cordless 36V,Soft Start,Laser,"E Brake, VTC","10"" Sliding Compound Miter Saw. **PurePOWER Brushless**. 36V (2x18V). High cutting capacity (305mm). Premium DIY/Prosumer positioning.",https://www.google.com/search?q=Einhell+TE-SM+36/254+Li+release+date;https://www.google.com/search?q=Einhell+TE-SM+36/254+Li+review+date,"10"" Sliding Compound Miter Saw. **PurePOWER Brushless**. 36V (2x18V). High cutting capacity (305mm). Premium DIY/Prosumer positioning."
,Ø191~222mm,"216
1150
-
E Brake, Speed Ctrl, SYM Fence
Symmetrical Miter Saw. Focus on internal and external angle transfer for trim. Compact design.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,SYM 70,Festool,1.Benchtop,No,Compound,216mm,1150mm,2700-5200,Corded,Soft Start,-,"E Brake, Speed Ctrl, SYM Fence",Symmetrical Miter Saw. Focus on internal and external angle transfer for trim. Compact design.,https://www.google.com/search?q=Festool+US+catalog+2005+SYM+70;https://www.google.com/search?q=Festool+2005+product+range+archive,Symmetrical Miter Saw. Focus on internal and external angle transfer for trim. Compact design.
,Ø222~267mm,"260
1600
Dual laser
E Brake, Speed Ctrl, VTC
10-1/4"" Sliding Compound Miter Saw. **Rail-Forward Design**. Dual-line lasers. MMC Electronics.",,https://media.cdn.bauhaus/m/181725/15.jpg,2008,Kapex KS 120,Festool,1.Benchtop,Dual,Rail-Front,260mm,1600mm,1400-3400,Corded,Soft Start,Dual laser,"E Brake, Speed Ctrl, VTC","10-1/4"" Sliding Compound Miter Saw. **Rail-Forward Design**. Dual-line lasers. MMC Electronics.",https://www.google.com/search?q=Festool+Kapex+KS+120+launch+date;https://www.google.com/search?q=Fine+Homebuilding+Festool+Kapex+review+2008,"10-1/4"" Sliding Compound Miter Saw. **Rail-Forward Design**. Dual-line lasers. MMC Electronics."
,Ø222~267mm,"260
1600
Dual laser
E Brake, Speed Ctrl, VTC
10-1/4"" Sliding Compound Miter Saw. ""Essentials"" Kapex. Rail-forward, same capacity as KS 120.",,https://media.cdn.bauhaus/m/181725/15.jpg,2010,Kapex KS 88,Festool,1.Benchtop,Dual,Rail-Front,260mm,1600mm,1400-3400,Corded,Soft Start,Dual laser,"E Brake, Speed Ctrl, VTC","10-1/4"" Sliding Compound Miter Saw. ""Essentials"" Kapex. Rail-forward, same capacity as KS 120.",https://www.google.com/search?q=Festool+Kapex+KS+88+vs+KS+120+comparison;https://www.google.com/search?q=Festool+KS+88+release+date,"10-1/4"" Sliding Compound Miter Saw. ""Essentials"" Kapex. Rail-forward, same capacity as KS 120."
,Ø191~222mm,"216
1200
Shadow
E Brake, Speed Ctrl, VTC
8-1/2"" Sliding Compound Miter Saw. **Compact Design**. LED shadow-line guidance. Pull-out table extensions.",,https://media.cdn.bauhaus/m/181725/15.jpg,2017,Kapex KS 60,Festool,1.Benchtop,Dual,Rail-Front,216mm,1200mm,1300-3500,Corded,Soft Start,Shadow,"E Brake, Speed Ctrl, VTC","8-1/2"" Sliding Compound Miter Saw. **Compact Design**. LED shadow-line guidance. Pull-out table extensions.",https://www.google.com/search?q=Festool+Kapex+KS+60+release+date;https://www.google.com/search?q=ToolGuyd+Festool+Kapex+KS+60+review+2017,"8-1/2"" Sliding Compound Miter Saw. **Compact Design**. LED shadow-line guidance. Pull-out table extensions."
,Ø191~222mm,"216
Shadow
E Brake, Speed Ctrl, VTC
8-1/2"" Cordless Sliding Miter Saw. **36V (2x18V) PXC**. Brushless Motor. Dual-column guide.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,Kapex KSC 60,Festool,1.Benchtop,Dual,Rail-Front,216mm,,1300-1800/3400,Cordless 36V,Soft Start,Shadow,"E Brake, Speed Ctrl, VTC","8-1/2"" Cordless Sliding Miter Saw. **36V (2x18V) PXC**. Brushless Motor. Dual-column guide.",https://www.google.com/search?q=Festool+KSC+60+release+date;https://www.google.com/search?q=Festool+cordless+innovations+2021+KSC+60,"8-1/2"" Cordless Sliding Miter Saw. **36V (2x18V) PXC**. Brushless Motor. Dual-column guide."
,Ø191~222mm,"216
Shadow
E Brake, Speed Ctrl, SYM Fence, IoT
Cordless Symmetrical Miter Saw. **18V/36V hybrid system**. Focus on trim carpentry.",,https://media.cdn.bauhaus/m/181725/15.jpg,2023,SYMC 70,Festool,1.Benchtop,No,Compound,216mm,,1300-1800/3500,Cordless 36V,Soft Start,Shadow,"E Brake, Speed Ctrl, SYM Fence, IoT",Cordless Symmetrical Miter Saw. **18V/36V hybrid system**. Focus on trim carpentry.,https://www.google.com/search?q=Festool+SYMC+70+release+date;https://www.google.com/search?q=Festool+SYMC+70+review+2023,Cordless Symmetrical Miter Saw. **18V/36V hybrid system**. Focus on trim carpentry.
,,"-
Inherited many designs from the 2004-2005 transition period.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,ShopMaster SM Series (Early),Kobalt,1.Benchtop,Single,Compound,,,,Corded,,-,,Inherited many designs from the 2004-2005 transition period.,https://www.google.com/search?q=Kobalt+power+tools+brand+history+2005,Inherited many designs from the 2004-2005 transition period.
,Ø127~191mm,"184
1080
Laser
7-1/4"" Sliding Compound Miter Saw. **Compact and Portable (30 lbs)**.",,https://media.cdn.bauhaus/m/181725/15.jpg,2013,SM1850LW,Kobalt,1.Benchtop,Single,Rail,184mm,1080mm,5000,Corded,,Laser,,"7-1/4"" Sliding Compound Miter Saw. **Compact and Portable (30 lbs)**.",https://www.google.com/search?q=Kobalt+SM1850LW+release+date;https://www.google.com/search?q=Kobalt+SM1850LW+manual+2013,"7-1/4"" Sliding Compound Miter Saw. **Compact and Portable (30 lbs)**."
,Ø279~333mm,"305
1800
Laser
E Brake
12"" Dual Bevel Sliding Compound Miter Saw. 15-Amp flaghsip.",,https://media.cdn.bauhaus/m/181725/15.jpg,2013,SM3055LW,Kobalt,1.Benchtop,Dual,Rail,305mm,1800mm,4200,Corded,Soft Start,Laser,E Brake,"12"" Dual Bevel Sliding Compound Miter Saw. 15-Amp flaghsip.",https://www.google.com/search?q=Kobalt+SM3055LW+manual+date,"12"" Dual Bevel Sliding Compound Miter Saw. 15-Amp flaghsip."
,Ø127~191mm,"184
Shadow
E Brake
7-1/4"" 24V Brushless Sliding Miter Saw. **Dual Bevel**. Brushless motor.",,https://media.cdn.bauhaus/m/181725/15.jpg,2018,KMS 0724A-03,Kobalt,1.Benchtop,Dual,Rail,184mm,,5100,Cordless 24V,Soft Start,Shadow,E Brake,"7-1/4"" 24V Brushless Sliding Miter Saw. **Dual Bevel**. Brushless motor.",https://www.google.com/search?q=Kobalt+KMS+0724A-03+release+date;https://www.google.com/search?q=Kobalt+KMS+0724A-03+manual+2018,"7-1/4"" 24V Brushless Sliding Miter Saw. **Dual Bevel**. Brushless motor."
,Ø127~191mm,"184
Shadow
Speed Ctrl
7-1/4"" 24V Brushless Slider Refresh. Improved electronics and motor cooling.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,KMS 0724B-03,Kobalt,1.Benchtop,Dual,Rail,184mm,,5100,Cordless 24V,Soft Start,Shadow,Speed Ctrl,"7-1/4"" 24V Brushless Slider Refresh. Improved electronics and motor cooling.",https://www.google.com/search?q=Kobalt+KMS+0724B-03+release+date;https://www.google.com/search?q=Kobalt+KMS+0724B-03+manual+2021,"7-1/4"" 24V Brushless Slider Refresh. Improved electronics and motor cooling."
,Ø222~267mm,"254
1650
-
E Brake
10"" Compound miter saw. 15 AMP motor, 4,600 RPM. Known for its rugged simplicity and high accuracy in a compact frame.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,LS1040,Makita,1.Benchtop,Single,Compound,254mm,1650mm,4600,Corded,Soft Start,-,E Brake,"10"" Compound miter saw. 15 AMP motor, 4,600 RPM. Known for its rugged simplicity and high accuracy in a compact frame.",https://www.google.com/search?q=Makita+18V+LXT+platform+launch+date;https://www.google.com/search?q=Makita+LS1040+release+date+manual,"10"" Compound miter saw. 15 AMP motor, 4,600 RPM. Known for its rugged simplicity and high accuracy in a compact frame."
,Ø279~333mm,"305
1650
Laser
E Brake
12"" Dual Slide Compound Miter Saw with Laser. Adjustable laser guide, 15 AMP motor. High vertical capacity for crown molding.",,https://media.cdn.bauhaus/m/181725/15.jpg,2007,LS1214L,Makita,1.Benchtop,Dual,Rail,305mm,1650mm,3200,Corded,-,Laser,E Brake,"12"" Dual Slide Compound Miter Saw with Laser. Adjustable laser guide, 15 AMP motor. High vertical capacity for crown molding.",https://www.google.com/search?q=Makita+LS1214L+release+date+review;https://www.google.com/search?q=Makita+LS1214L+release+date+review,"12"" Dual Slide Compound Miter Saw with Laser. Adjustable laser guide, 15 AMP motor. High vertical capacity for crown molding."
,Ø279~333mm,"305
1650
Laser
E Brake
12"" Dual Slide Compound Miter Saw with Laser and Fluorescent Light. Optimized for low-light jobsite conditions. Top pick by Fine Homebuilding.",,https://media.cdn.bauhaus/m/181725/15.jpg,2008,LS1214FL,Makita,1.Benchtop,Dual,Rail,305mm,1650mm,3200,Corded,-,Laser,E Brake,"12"" Dual Slide Compound Miter Saw with Laser and Fluorescent Light. Optimized for low-light jobsite conditions. Top pick by Fine Homebuilding.",https://www.google.com/search?q=Makita+LS1214FL+Fine+Homebuilding+review+2008;https://www.google.com/search?q=Makita+LS1214FL+release+date+review,"12"" Dual Slide Compound Miter Saw with Laser and Fluorescent Light. Optimized for low-light jobsite conditions. Top pick by Fine Homebuilding."
,Ø222~267mm,"254
1650
Laser
E Brake
10"" Dual Slide Compound Miter Saw. **DXT Debut**. 6-5/8"" crown cutting capacity (nested). 4-rail sliding system for extreme precision.",,https://media.cdn.bauhaus/m/181725/15.jpg,2009,LS1016L,Makita,1.Benchtop,Dual,Rail,254mm,1650mm,3200,Corded,Soft Start,Laser,E Brake,"10"" Dual Slide Compound Miter Saw. **DXT Debut**. 6-5/8"" crown cutting capacity (nested). 4-rail sliding system for extreme precision.",https://www.google.com/search?q=Makita+LS1016L+release+date+announcement;https://www.google.com/search?q=Makita+LS1016L+Fine+Woodworking+review+2009,"10"" Dual Slide Compound Miter Saw. **DXT Debut**. 6-5/8"" crown cutting capacity (nested). 4-rail sliding system for extreme precision."
,Ø222~267mm,"254
1560
Laser
-
10"" Sliding Compound Miter Saw with Laser. Positioned as a mid-tier professional option with high accuracy and a smaller footprint than the LS1016L.",,https://media.cdn.bauhaus/m/181725/15.jpg,2010,LS1017L,Makita,1.Benchtop,Single,Rail,254mm,1560mm,4200,Corded,-,Laser,-,"10"" Sliding Compound Miter Saw with Laser. Positioned as a mid-tier professional option with high accuracy and a smaller footprint than the LS1016L.",https://www.google.com/search?q=Makita+LS1017L+release+date,"10"" Sliding Compound Miter Saw with Laser. Positioned as a mid-tier professional option with high accuracy and a smaller footprint than the LS1016L."
,Ø279~333mm,"305
1650
Laser
E Brake
12"" Dual Slide Compound Miter Saw. **DXT Expansion**. 8"" crown cutting capacity (nested). 4-rail sliding system.",,https://media.cdn.bauhaus/m/181725/15.jpg,2010,LS1216L,Makita,1.Benchtop,Dual,Rail,305mm,1650mm,3200,Corded,Soft Start,Laser,E Brake,"12"" Dual Slide Compound Miter Saw. **DXT Expansion**. 8"" crown cutting capacity (nested). 4-rail sliding system.",https://www.google.com/search?q=Makita+LS1216L+release+date+announcement;https://www.google.com/search?q=Makita+LS1216L+WOOD+Magazine+top+tool+2010,"12"" Dual Slide Compound Miter Saw. **DXT Expansion**. 8"" crown cutting capacity (nested). 4-rail sliding system."
,Ø191~222mm,"191
-
Laser
-
7-1/4"" 18V LXT Cordless Sliding Compound Miter Saw. First LXT miter saw. Compact (27.5 lbs), high portability.",,https://media.cdn.bauhaus/m/181725/15.jpg,2012,LXSL01,Makita,1.Benchtop,Single,Rail,191mm,-,3600,Cordless 18V,-,Laser,-,"7-1/4"" 18V LXT Cordless Sliding Compound Miter Saw. First LXT miter saw. Compact (27.5 lbs), high portability.",https://www.google.com/search?q=Makita+LXSL01+release+date;https://www.google.com/search?q=Makita+DLS713+release+date,"7-1/4"" 18V LXT Cordless Sliding Compound Miter Saw. First LXT miter saw. Compact (27.5 lbs), high portability."
,Ø279~333mm,"305
1650
Laser
E Brake
12"" Table Top Miter Saw. Hybrid design (Miter Saw + Table Saw). 15 AMP motor, built-in laser and light.",,https://media.cdn.bauhaus/m/181725/15.jpg,2013,LH1200FL,Makita,3.Multi Function,Single,Compound,305mm,1650mm,3800,Corded,Soft Start,Laser,E Brake,"12"" Table Top Miter Saw. Hybrid design (Miter Saw + Table Saw). 15 AMP motor, built-in laser and light.",https://www.google.com/search?q=Makita+LH1200FL+release+date;https://www.google.com/search?q=Makita+LH1200FL+release+date,"12"" Table Top Miter Saw. Hybrid design (Miter Saw + Table Saw). 15 AMP motor, built-in laser and light."
,Ø222~267mm,"254
1430
-
E Brake
10"" Slide Compound Miter Saw. 13 AMP direct drive motor. Linear ball bearing system for accurate cuts. Large cutting capacity.",,https://media.cdn.bauhaus/m/181725/15.jpg,2014,LS1018,Makita,1.Benchtop,Dual,Rail,254mm,1430mm,4300,Corded,Soft Start,-,E Brake,"10"" Slide Compound Miter Saw. 13 AMP direct drive motor. Linear ball bearing system for accurate cuts. Large cutting capacity.",https://www.google.com/search?q=Makita+LS1018+release+date+announcement;https://www.google.com/search?q=Makita+LS1018+release+date+announcement,"10"" Slide Compound Miter Saw. 13 AMP direct drive motor. Linear ball bearing system for accurate cuts. Large cutting capacity."
,Ø191~222mm,"191
-
-
E Brake
7-1/2"" Dual Slide Compound Miter Saw. **X2 LXT (36V) Debut**. Brushless motor, 5,700 RPM. Equivalent to corded power.",,https://media.cdn.bauhaus/m/181725/15.jpg,2015,XSL02Z,Makita,1.Benchtop,Single,Rail,191mm,-,5700,Cordless 36V,Soft Start,-,E Brake,"7-1/2"" Dual Slide Compound Miter Saw. **X2 LXT (36V) Debut**. Brushless motor, 5,700 RPM. Equivalent to corded power.",https://www.google.com/search?q=Makita+XSL02Z+release+date+announcement;https://www.google.com/search?q=Makita+XSL02Z+release+date+announcement,
,Ø222~267mm,"254
1800
Laser
E Brake, 
10"" Dual-Bevel Sliding Compound Miter Saw. **Rail-Forward Design**. Can be used flush against walls. Dual dust collection ports.",,https://media.cdn.bauhaus/m/181725/15.jpg,2017,LS1019L,Makita,1.Benchtop,Dual,Rail-Front,254mm,1800mm,3200,Corded,Soft Start,Laser,"E Brake, ","10"" Dual-Bevel Sliding Compound Miter Saw. **Rail-Forward Design**. Can be used flush against walls. Dual dust collection ports.",https://www.google.com/search?q=Makita+LS1019L+release+date+announcement;https://www.google.com/search?q=Makita+LS1019L+release+date+announcement,"10"" Dual-Bevel Sliding Compound Miter Saw. **Rail-Forward Design**. Can be used flush against walls. Dual dust collection ports."
,Ø222~267mm,"254
Laser
E Brake, 
10"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Rail-Forward**. Equivalent to corded performance with LS1019L design.",,https://media.cdn.bauhaus/m/181725/15.jpg,2017,XSL06Z,Makita,1.Benchtop,Dual,Rail-Front,254mm,,4400,Cordless 18V2,Soft Start,Laser,"E Brake, ","10"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Rail-Forward**. Equivalent to corded performance with LS1019L design.",https://www.google.com/search?q=Makita+XSL06Z+release+date,"10"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Rail-Forward**. Equivalent to corded performance with LS1019L design."
,Ø279~333mm,"305
1800
Laser
E Brake, 
12"" Dual-Bevel Sliding Compound Miter Saw. **Flagship Rail-Forward**. Large capacity (8"" crown nested). Flush-to-wall design.",,https://media.cdn.bauhaus/m/181725/15.jpg,2018,LS1219L,Makita,1.Benchtop,Dual,Rail-Front,305mm,1800mm,3200,Corded,Soft Start,Laser,"E Brake, ","12"" Dual-Bevel Sliding Compound Miter Saw. **Flagship Rail-Forward**. Large capacity (8"" crown nested). Flush-to-wall design.",https://www.google.com/search?q=Makita+LS1219L+release+date;https://www.google.com/search?q=Makita+LS1219L+release+date,"12"" Dual-Bevel Sliding Compound Miter Saw. **Flagship Rail-Forward**. Large capacity (8"" crown nested). Flush-to-wall design."
,Ø279~333mm,"305
Laser
E Brake, 
12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Flagship**. 56 lbs, rail-forward design.",,https://media.cdn.bauhaus/m/181725/15.jpg,2019,XSL07,Makita,1.Benchtop,Dual,Rail-Front,305mm,,4400,Cordless 18V2,Soft Start,Laser,"E Brake, ","12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Flagship**. 56 lbs, rail-forward design.",https://www.google.com/search?q=Makita+XSL07+release+date+announcement;https://www.google.com/search?q=Makita+XSL07+release+date+announcement,"12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **Cordless Flagship**. 56 lbs, rail-forward design."
,Ø279~333mm,"305
Laser
E Brake,  Interface
12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **AWS Capable**. Same specs as XSL07 but with Bluetooth integration.",,https://media.cdn.bauhaus/m/181725/15.jpg,2019,XSL08,Makita,1.Benchtop,Dual,Rail-Front,305mm,,4400,Cordless 18V2,Soft Start,Laser,"E Brake,  Interface","12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **AWS Capable**. Same specs as XSL07 but with Bluetooth integration.",https://www.google.com/search?q=Makita+XSL07+release+date+announcement;https://www.google.com/search?q=Makita+XSL08+release+date,"12"" 18V X2 (36V) LXT® Brushless Sliding Compound Miter Saw. **AWS Capable**. Same specs as XSL07 but with Bluetooth integration."
,Ø191~222mm,"216
Shadow
E Brake,  Interface
8-1/2"" XGT® Brushless Sliding Compound Miter Saw. Compact, high-power for trim. AWS capable, rail-forward design.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,GSL02,Makita,1.Benchtop,Dual,Rail-Front,216mm,,4800,Cordless 40V,Soft Start,Shadow,"E Brake,  Interface","8-1/2"" XGT® Brushless Sliding Compound Miter Saw. Compact, high-power for trim. AWS capable, rail-forward design.",https://www.google.com/search?q=Makita+GSL04+release+date+announcement;https://www.google.com/search?q=Makita+GSL04+release+date+announcement,"8-1/2"" XGT® Brushless Sliding Compound Miter Saw. Compact, high-power for trim. AWS capable, rail-forward design."
,Ø222~267mm,"254
Shadow
E Brake,  Interface
10"" XGT® Brushless Sliding Compound Miter Saw. **Core Professional**. 6-5/8"" nested crown capacity. AWS capable.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,GSL03,Makita,1.Benchtop,Dual,Rail-Front,254mm,,3600,Cordless 40V,Soft Start,Shadow,"E Brake,  Interface","10"" XGT® Brushless Sliding Compound Miter Saw. **Core Professional**. 6-5/8"" nested crown capacity. AWS capable.",https://www.google.com/search?q=Makita+GSL04+release+date+announcement;https://www.google.com/search?q=Makita+GSL04+release+date+announcement,"10"" XGT® Brushless Sliding Compound Miter Saw. **Core Professional**. 6-5/8"" nested crown capacity. AWS capable."
,Ø279~333mm,"305
Shadow
E Brake,  Interface
12"" XGT® Brushless Sliding Compound Miter Saw. **New Flagship**. 3-5/8"" x 15"" crosscut capacity at 90°. AWS capable.",,https://media.cdn.bauhaus/m/181725/15.jpg,2021,GSL04,Makita,1.Benchtop,Dual,Rail-Front,305mm,,3600,Cordless 40V,Soft Start,Shadow,"E Brake,  Interface","12"" XGT® Brushless Sliding Compound Miter Saw. **New Flagship**. 3-5/8"" x 15"" crosscut capacity at 90°. AWS capable.",https://www.google.com/search?q=Makita+GSL04+release+date+announcement;https://www.google.com/search?q=Makita+GSL04+release+date+announcement,"12"" XGT® Brushless Sliding Compound Miter Saw. **New Flagship**. 3-5/8"" x 15"" crosscut capacity at 90°. AWS capable."
,Ø222~267mm,"254
1560
Shadow
E Brake, 
10"" Slide Compound Miter Saw. Corded value-professional model. 13 AMP motor, LED worklight, compact sub-base. Introduced late 2025.",,https://cdn.makitatools.com/apps/cms/img/ls1/adbfc575-a56a-4155-a992-e147510702d2_ls1110f_f_1500px.png,2025,LS1110F,Makita,1.Benchtop,Single,Rail,254mm,1560mm,4500,Corded,Soft Start,Shadow,"E Brake, ","10"" Slide Compound Miter Saw. Corded value-professional model. 13 AMP motor, LED worklight, compact sub-base. Introduced late 2025.",https://www.google.com/search?q=Makita+LS1110F+release+date,"10"" Slide Compound Miter Saw. Corded value-professional model. 13 AMP motor, LED worklight, compact sub-base. Introduced late 2025."
,Ø191~222mm,"216
1500
Laser
8-1/2"" (216mm) Sliding Compound Miter Saw. **Integrated Handle**.",,https://media.cdn.bauhaus/m/181725/15.jpg,2011,KGS 216 M,Metabo,1.Benchtop,Single,Rail,216mm,1500mm,5000,Corded,Soft Start,Laser,,"8-1/2"" (216mm) Sliding Compound Miter Saw. **Integrated Handle**.",https://www.google.com/search?q=Metabo+KGS+216+M+release+date,"8-1/2"" (216mm) Sliding Compound Miter Saw. **Integrated Handle**."
,Ø222~267mm,"254
1450
Laser
10"" (254mm) Sliding Compound Miter Saw. High-value professional slider.",,https://media.cdn.bauhaus/m/181725/15.jpg,2011,KGS 254 M,Metabo,1.Benchtop,Single,Rail,254mm,1450mm,4500,Corded,Soft Start,Laser,,"10"" (254mm) Sliding Compound Miter Saw. High-value professional slider.",https://www.google.com/search?q=Metabo+KGS+254+M+launch+history,"10"" (254mm) Sliding Compound Miter Saw. High-value professional slider."
,Ø222~267mm,"254
Shadow
E Brake
**Brushless 18V** 10"" Slider with PCL. High-torque cordless.",,https://media.cdn.bauhaus/m/181725/15.jpg,2023,KGS 18 LTX BL 254,Metabo,1.Benchtop,Single,Rail,254mm,,4000,CAS Cordless 18V,Soft Start,Shadow,E Brake,"**Brushless 18V** 10"" Slider with PCL. High-torque cordless.",,"**Brushless 18V** 10"" Slider with PCL. High-torque cordless."
,Ø191~222mm,"216
1500
Shadow
8-1/2"" Slider with **PCL System**. Improved dust collection.",,https://media.cdn.bauhaus/m/181725/15.jpg,2023,KGS 216 M (2023 Refresh),Metabo,1.Benchtop,Single,Rail,216mm,1500mm,5000,Corded,Soft Start,Shadow,,"8-1/2"" Slider with **PCL System**. Improved dust collection.",https://www.google.com/search?q=Metabo+KGS+216+M+2023+PCL+launch;https://www.google.com/search?q=Metabo+KGS+18+LTX+BL+254+release+date,"8-1/2"" Slider with **PCL System**. Improved dust collection."
,Ø222~267mm,"254
1450
Shadow
10"" Slider with PCL System. Refined table extensions.",,https://media.cdn.bauhaus/m/181725/15.jpg,2023,KGS 254 M (2023 Refresh),Metabo,1.Benchtop,Single,Rail,254mm,1450mm,4500,Corded,Soft Start,Shadow,,"10"" Slider with PCL System. Refined table extensions.",https://www.google.com/search?q=Metabo+official+catalog+2023+miter+saw,"10"" Slider with PCL System. Refined table extensions."
,Ø222~267mm,"254
1090
Laser
10"" Sliding Compound Miter Saw. High precision. Vertical handle with vibration reduction.",,https://media.cdn.bauhaus/m/181725/15.jpg,2005,C10FSH,MetaboHPT - Hitachi,1.Benchtop,Dual,Rail,254mm,1090mm,3800,Corded,Soft Start,Laser,,"10"" Sliding Compound Miter Saw. High precision. Vertical handle with vibration reduction.",https://www.google.com/search?q=Hitachi+power+tools+catalog+2005+miter+saw;https://www.google.com/search?q=Hitachi+C10FSH+review+2005,"10"" Sliding Compound Miter Saw. High precision. Vertical handle with vibration reduction."
